half_seconds	series1_bpm	series2_bpm	series3_bpm	series4_bpm
205	98.0753	92.0937	60.24	61.5655
206	98.3978	91.3595	59.6424	61.692
207	99.5744	91.2461	60.6485	60.8818
208	100.568	90.0043	60.6485	59.7795
209	101.201	88.3902	60.6485	59.7029
210	101.996	88.2833	60.6485	59.941
211	101.752	88.5444	60.6485	59.9101
212	100.957	87.4915	60.6485	59.7906
213	100.026	85.9699	60.6485	59.4122
214	99.6107	85.6912	67.6856	58.9435
215	99.7351	84.9689	66.6344	58.5037
216	98.9231	84.2697	64.1643	58.0495
217	97.2177	84.2697	61.2452	57.6367
218	96.4963	84.2697	58.8926	57.1963
219	96.5062	84.4506	56.8621	57.1496
220	96.5806	84.8552	55.6961	57.3681
221	97.4089	85.3966	54.7802	57.8197
222	98.2353	85.9468	55.0272	58.6116
223	98.3075	85.7898	57.1501	59.1991
224	98.0392	85.0731	58.5938	59.552
225	97.81	84.7458	58.5938	59.6198
226	97.3384	85.0944	58.5177	59.2669
227	96.8581	85.5787	58.1784	59.7371
228	96.3871	85.7143	58.0373	61.5903
229	97.0965	85.4903	58.8417	63.6519
230	98.543	85.2468	59.4919	65.6045
231	99.571	85.3837	59.2576	65.4723
232	100.383	86.8877	58.9056	63.6515
233	100.548	88.2353	57.4679	60.6914
234	99.8818	86.9463	56.1798	57.5879
235	96.8987	86.9463	55.2931	57.0979
236	95.0382	86.9463	54.3771	57.535
237	96.0268	86.9463	55.044	57.6923
238	96.6055	85.6331	55.9599	57.6923
239	96.7742	87.4806	55.732	57.6923
240	96.4715	88.8293	55.0144	57.6923
241	95.7183	90.5285	54.4091	58.4995
242	94.9637	91.3636	53.6326	60.5176
243	94.7937	92.6799	53.5106	61.4446
244	96.1652	93.75	55.324	60.8224
245	97.7082	94.2014	56.7978	59.7211
246	98.0265	95.1731	56.4785	58.1051
247	98.2043	95.9236	56.1798	57.0901
248	98.6236	96.464	56.1798	56.6596
249	99.1664	96.5385	56.1798	56.4174
250	100.063	96.3871	56.6043	56.5238
251	102.237	96.6228	57.1404	56.6175
252	104.256	96.7842	58.0425	56.7247
253	104.368	97.0984	59.1785	56.8064
254	103.428	97.6572	58.7514	56.0726
255	102.716	98.1613	57.6154	55.3506
256	103.304	98.5475	57.0005	55.525
257	103.373	98.6378	56.5701	55.7308
258	100.826	98.3153	56.8412	55.8345
259	98.563	98.3359	57.8286	55.9385
260	98.2895	98.8885	57.6816	56.3239
261	98.1599	99.0789	55.9713	56.9648
262	97.0303	99.0331	54.7967	56.9597
263	95.5209	99.5263	54.1099	56.3188
264	94.4763	100	53.5714	55.9701
265	94.4791	99.1373	55.2613	55.9701
266	95.7819	99.2432	56.9927	55.9878
267	97.3151	100.944	56.6617	56.0926
268	97.3915	101.362	56.2345	56.1866
269	97.7791	99.8657	56.1026	56.3986
270	99.0609	98.6842	55.9978	56.6038
271	99.2175	98.9665	56.7467	57.5112
272	98.9404	98.4525	58.0585	58.5062
273	99.0606	97.4782	59.0418	58.2043
274	98.7248	97.6698	59.8654	57.7536
275	96.3218	98.0392	59.661	57.6057
276	93.4816	97.1267	58.6103	57.4951
277	91.8813	97.3302	58.0304	57.3192
278	90.8463	98.892	57.8068	57.1007
279	92.4127	99.1404	58.1631	57.6324
280	94.2124	98.5695	59.3169	58.6429
281	92.4513	99.098	59.1779	59.8751
282	92.4513	100.295	57.163	61.3392
283	92.4513	100.4	55.6535	61.2161
284	92.4513	100.105	54.4542	59.9862
285	89.9078	100	53.613	58.5072
286	93.5217	99.9421	55.3444	56.8352
287	97.4854	99.2842	57.0342	56.0325
288	99.4921	98.9692	56.354	55.7203
289	99.4464	99.2959	55.6147	55.6202
290	98.7744	99.0417	55.634	55.8275
291	96.5739	98.3924	55.7373	56.2489
292	96.1598	98.0418	56.9777	57.9081
293	97.6346	98.3643	58.9772	59.3226
294	97.9628	98.1767	59.761	59.5588
295	97.8419	97.8947	59.761	59.761
296	97.2094	98.4023	59.4835	59.761
297	96.7742	98.6429	59.0148	59.8387
298	98.1161	98.3204	59.5554	60.446
299	100.156	98.6262	60.8814	60.8976
300	100.95	99.5059	60.6109	60.4098
301	100.946	99.4131	59.1701	59.7977
302	101.098	98.7099	58.2234	58.5333
303	101.351	98.8651	57.5525	57.4478
304	101.351	99.3377	57.8785	57.1212
305	100.185	99.058	59.2525	56.8182
306	98.3766	98.9404	59.129	56.7153
307	97.4133	99.0789	57.2189	56.6081
308	96.6234	98.8698	56.2819	57.061
309	95.8476	98.6842	56.6011	57.6052
310	94.875	99.011	57.2249	57.777
311	93.8442	99.0789	59.1802	57.8883
312	93.3238	98.9404	60.4024	57.464
313	93.1677	99.0789	58.9955	56.8083
314	92.9124	98.9404	58.0438	57.0399
315	92.795	99.0606	58.8481	57.8078
316	92.963	99.0293	59.7759	58.0268
317	92.7997	98.7025	61.5266	57.8032
318	93.4731	98.5191	62.8091	57.7871
319	94.3396	98.1966	61.9088	58.0107
320	94.6184	98.0808	61.4031	58.0192
321	95.283	98.73	62.0408	57.6851
322	95.9113	97.1986	62.7885	57.2956
323	95.8599	94.6995	63.5897	56.6499
324	95.9876	94.3396	63.0432	56.1655
325	96.5917	94.2072	60.8724	56.0607
326	96.5684	94.2072	59.3718	55.9701
327	95.6497	94.2072	58.5611	56.1789
328	95.5209	94.2072	58.3785	56.3893
329	95.9115	94.2072	58.953	56.6689
330	95.2212	94.2072	58.8467	56.9905
331	94.2373	88.9888	57.7195	57.6268
332	93.75	90.3422	57.0972	58.4066
333	93.2315	90.9091	57.3157	58.758
334	92.4824	91.1685	57.797	58.9887
335	92.8411	92.3431	59.4258	58.9764
336	95.1926	93.904	60.4136	58.8606
337	95.1926	94.7699	59.0068	60.5128
338	95.1926	95.2657	57.8981	63.1523
339	95.1926	96.5805	57.7868	63.1523
340	95.1926	98.0255	57.7668	63.1523
341	95.1926	98.9472	58.8011	63.1523
342	95.1926	100.067	59.6668	63.1523
343	95.1926	100.677	58.1954	63.1523
344	95.1926	101.361	56.8182	63.1523
345	95.1926	101.754	56.0227	63.1523
346	95.1926	101.633	55.1872	76.9231
347	104.299	102.084	56.0489	73.0549
348	102.933	102.555	57.211	68.1765
349	102.698	102.788	56.8123	64.3208
350	101.647	103.142	55.8544	61.4754
351	98.3221	102.761	55.4477	61.4754
352	96.6484	101.782	55.2435	61.9378
353	97.8146	101.633	55.6737	63.2514
354	98.797	101.757	57.17	63.9722
355	98.6411	101.544	58.3389	63.7006
356	96.5556	101.376	59.031	63.3232
357	93.9147	101.721	59.4918	62.9243
358	92.4174	101.732	59.3742	63.1247
359	92.0825	101.387	59.3768	63.6589
360	93.2812	101.351	59.7325	64.9645
361	92.3664	101.351	60.2143	66.383
362	90.1977	101.297	61.0785	65.8009
363	89.9113	100.957	61.1829	64.8101
364	89.8204	101	59.3885	63.9882
365	90.3604	101.074	58.2216	63.4657
366	90.7207	100.35	58.5636	64.1478
367	89.6519	99.6098	58.7104	64.436
368	87.2386	99.2802	58.1448	63.8881
369	85.2571	98.9535	57.5035	62.8347
370	85.9714	99.6379	55.9301	61.4194
371	88.2143	100.631	54.5455	60.7949
372	89.2857	100.478	55.2008	60.9183
373	87.7857	100.268	55.9132	60.2992
